artist_name,music_name,music_id,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key
Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,2021-10-14,100,0.578,0.604,224694,0.366,0.0,0.133,0.13,-7.519,0.0282,141.981,5
Rosalía,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK,2021-11-11,85,0.946,0.77,188102,0.302,3.3799999999999995e-05,0.125,0.821,-7.911,0.0466,136.01,0
DojaCat,Woman,6Uj1ctrBOjOas8xZXGqKk4,2021-06-25,95,0.0888,0.8240000000000001,172626,0.764,0.00294,0.117,0.8809999999999999,-4.175,0.0854,107.998,5
Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,2021-11-19,83,0.091,0.534,225148,0.725,0.0,0.0264,0.55,-3.906,0.046,88.098,1
TravisScott,ESCAPE PLAN,4R67rQNSbbsR4TdUVOIdez,2021-11-05,87,0.00207,0.8390000000000001,149610,0.506,0.0,0.13,0.44,-6.714,0.133,154.12,5
Adele,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,2021-11-19,81,0.6970000000000001,0.4370000000000001,376169,0.565,0.0,0.119,0.306,-5.596,0.0466,115.389,10
DojaCat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,2021-06-25,93,0.304,0.664,210560,0.609,0.0,0.0926,0.194,-6.509,0.0707,130.041,1
TheWeeknd,Take My Breath,6OGogr19zPTM4BALXuMQpF,2021-08-06,87,0.0107,0.748,220196,0.74,2.18e-05,0.101,0.518,-6.01,0.0484,121.004,8
LilNasX,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,2021-07-23,96,0.0203,0.736,212000,0.7040000000000001,0.0,0.0501,0.894,-7.409,0.0615,149.995,3
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,2021-06-24,94,0.007759999999999999,0.762,287120,0.7659999999999999,6.979999999999999e-05,0.128,0.442,-3.955,0.0343,130.001,7
Regard,You,2cc8Sw1OnCuA5bV8nqWqpE,2021-04-16,80,0.0592,0.691,233386,0.695,0.0,0.0647,0.514,-5.6,0.0367,106.064,0
GlassAnimals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,88,0.44,0.7609999999999999,238805,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,11
EltonJohn,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,2021-08-13,95,0.034,0.7959999999999999,202735,0.7979999999999999,4.19e-05,0.0952,0.942,-6.312,0.0317,116.032,1
HarryStyles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,2019-11-17,72,0.122,0.5479999999999999,174000,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0
EdSheeran,Shivers,6bQfNiqyCX7UaQSvVVGo4I,2021-09-10,63,0.281,0.7879999999999999,207853,0.8590000000000001,0.0,0.0424,0.8220000000000001,-2.724,0.0856,141.02,2
DuaLipa,Love Again,1imMjt1YGNebtrtTAprKV7,2020-03-27,75,0.00173,0.659,258004,0.667,2.85e-05,0.1,0.468,-4.668,0.0339,115.982,11
Adele,Can I Get It,6w8ZPYdnGajyfPddTWdthN,2021-11-19,81,0.0171,0.703,210384,0.68,0.0,0.17800000000000002,0.536,-6.1179999999999986,0.0431,97.985,9
ClintonKane,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,2021-08-20,87,0.877,0.422,204093,0.34,1.77e-05,0.149,0.223,-6.577000000000001,0.0351,77.21300000000002,0
TravisScott,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,2021-01-15,84,0.418,0.841,162802,0.593,0.0,0.124,0.8079999999999999,-7.846,0.0379,124.917,1
Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,2021-09-24,93,0.00813,0.588,228000,0.701,0.0,0.2,0.443,-6.39,0.0402,104.988,9
Adele,Hold On,6bGMSP3H9YqkmaLnaJTIoF,2021-11-19,78,0.858,0.366,366004,0.364,1.15e-05,0.165,0.459,-7.814,0.0433,165.90200000000004,0
JoelCorry,Head & Heart (feat. MNEK),4wosxLl0mAqhneDzya2MfY,2020-07-03,66,0.168,0.732,166028,0.8740000000000001,1.17e-05,0.0489,0.905,-3.158,0.0662,122.961,8
HarryStyles,Adore You,3jjujdWJ72nww5eGnfs2E7,2019-12-13,84,0.0237,0.6759999999999999,207133,0.7709999999999999,7.000000000000002e-06,0.102,0.569,-3.675,0.0483,99.048,8
Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e,2017-12-08,94,0.127,0.7140000000000001,211560,0.8,0.0,0.359,0.589,-4.808,0.0504,134.002,11
DojaCat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,2021-04-09,89,0.235,0.762,208866,0.701,0.00015800000000000002,0.123,0.742,-3.5410000000000004,0.0286,110.968,8
DuaLipa,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,2020-10-01,84,0.00883,0.7020000000000001,203064,0.825,0.0,0.0674,0.915,-3.787,0.0601,102.977,6
LostFrequencies,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,2021-07-30,91,0.515,0.6709999999999999,148197,0.636,0.000411,0.172,0.262,-8.117,0.103,120.966,6
JustinBieber,Ghost,5dPz35akJjPqb17yeqNwqH,2021-03-19,83,0.17800000000000002,0.604,153190,0.741,3.4899999999999995e-05,0.409,0.473,-5.5710000000000015,0.0475,153.947,2
Måneskin,MAMMAMIA,78SCmQ8A7KQSMdkem2SwBP,2021-10-08,82,0.000615,0.767,186809,0.6779999999999999,0.0,0.0952,0.7909999999999999,-3.284,0.0686,142.06,1
MimiWebb,Good Without,15OCqNPYoLziEAsbVnqRj5,2021-03-26,76,0.0723,0.616,182121,0.5760000000000001,0.0,0.375,0.269,-5.495,0.0532,89.962,11
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,2021-01-15,87,0.0076,0.8240000000000001,169153,0.862,0.000132,0.303,0.8009999999999999,-3.424,0.126,122.98,2
Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,2020-03-27,85,0.524,0.449,198370,0.465,1.02e-06,0.303,0.5429999999999999,-8.964,0.0791,89.087,0
TravisScott,MAFIA,08F16baYbciTva9P4BvpiI,2021-11-05,84,0.0775,0.855,240000,0.4920000000000001,6.71e-06,0.111,0.385,-7.5779999999999985,0.0483,109.975,0
Giveon,For Tonight,61Emqg95O9zo1GNOcyxq4Y,2021-09-24,81,0.0699,0.442,193821,0.517,0.0,0.114,0.2,-7.807,0.0548,79.867,9
BillieEilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,2021-07-30,93,0.767,0.332,298899,0.225,0.00349,0.128,0.297,-8.697000000000001,0.0348,81.055,0
Rvssian,Nostálgico,2BEcap3xJtmiPaHKyfQi4e,2021-09-08,90,0.166,0.7340000000000001,209883,0.846,1.74e-06,0.235,0.604,-3.425,0.0489,98.026,9
JohnMayer,Shot in the Dark,239yM7BAQ2CkNc61ogPGXo,2021-07-16,68,0.0629,0.741,249080,0.556,0.041,0.103,0.5870000000000001,-9.184,0.0266,122.008,2
24Kgoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,88,0.174,0.701,140533,0.716,0.0,0.324,0.732,-3.671,0.0361,91.007,7
Zayn,Vibez,6T6D9CIrHkALcHPafDFA6L,2021-01-15,67,0.241,0.643,163346,0.6709999999999999,0.0178,0.12,0.297,-7.45,0.0842,96.924,7
Brockhampton,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,2019-08-23,76,0.449,0.453,204533,0.5379999999999999,0.0,0.19,0.516,-8.212,0.0638,122.973,1
Camilo,Índigo,4knc1Fp3kbuq8bH2byOvLu,2021-10-13,87,0.00884,0.748,214933,0.779,3.96e-05,0.113,0.928,-6.659,0.0342,128.91,0
Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,2019-04-05,73,0.0516,0.9,197573,0.4,0.0,0.0599,0.34600000000000003,-8.575,0.127,135.984,0
MimiWebb,24/5,1A6gT680oQr98VtDkNzys7,2021-09-10,74,0.403,0.5589999999999999,158220,0.763,0.0,0.127,0.349,-4.16,0.105,91.069,0
CamilaCabello,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,2021-07-23,88,0.0492,0.6659999999999999,164842,0.7959999999999999,0.0,0.0442,0.61,-6.9670000000000005,0.103,110.108,10
TheNeighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,89,0.0495,0.612,240400,0.807,0.0177,0.101,0.398,-2.81,0.0336,124.053,10
TateMcrae,working,31sSFHIe4NaxltVFOEIcTa,2021-06-17,76,0.282,0.7829999999999999,210219,0.435,0.0,0.0833,0.512,-7.78,0.0588,106.974,7
Majestic,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,2021-02-26,84,0.00364,0.758,186209,0.913,6.92e-05,0.193,0.6579999999999999,-2.926,0.113,128.04,6
TheKidLaroi,WITHOUT YOU (with Miley Cyrus),1EHUQesfVKwbthtNcpBi9g,2021-04-30,78,0.173,0.655,161384,0.469,0.0,0.0956,0.467,-6.2570000000000014,0.0292,92.56,0
CamilaCabello,Oh Na Na - Extended Version,3p7Xcy0kkecEFZoi0eah9j,2021-11-04,57,0.055,0.747,220354,0.857,3.73e-06,0.0937,0.67,-3.44,0.0727,115.019,0
MaskedWolf,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,2019-06-07,62,0.175,0.778,132780,0.695,0.0,0.15,0.472,-6.865,0.0913,149.996,4
JustinBieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,2021-03-19,90,0.321,0.677,198081,0.696,0.0,0.42,0.464,-6.181,0.119,90.03,0
JustinWellington,Iko Iko (My Bestie),7MC4XR9M9amdmKQr2iDF7i,2019-06-03,80,0.131,0.862,182857,0.753,2.01e-06,0.077,0.8270000000000001,-5.356,0.0625,105.039,5
MileyCyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,2020-11-27,77,0.0981,0.672,196453,0.642,0.0,0.1,0.494,-4.035,0.0313,121.981,5
Regard,Signals,3Zs7UPRJeoy3uycdPHVfwv,2021-10-29,69,0.415,0.741,167998,0.76,4.27e-06,0.095,0.588,-5.359,0.0447,120.01,5
TaiVerdes,A-O-K,51PSUD2YHjPyAy3jnkaoy7,2021-05-20,77,0.125,0.731,173640,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488,11
Kygo,Love Me Now (feat. Zoe Wees),1c1sdxrYLIiuJOlE7PPttb,2021-08-13,78,0.163,0.662,195880,0.489,0.0,0.172,0.506,-7.067,0.0525,102.04,5
BrunoMars,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,2021-03-05,88,0.182,0.586,242096,0.616,0.0,0.0927,0.7190000000000001,-7.963999999999999,0.0324,148.088,5
RauwAlejandro,Cúrame,3PwRuzdphgedcWVUOVYJ7I,2021-06-25,89,0.584,0.765,164705,0.625,0.00111,0.112,0.262,-3.599,0.0548,102.101,9
MileyCyrus,Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,2020-11-20,77,0.0103,0.7809999999999999,169333,0.67,0.0,0.0761,0.595,-3.912,0.0452,127.99,3
RittMomney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,2020-04-24,80,0.0563,0.399,210463,0.491,0.0008900000000000002,0.11,0.151,-10.778,0.0538,91.066,6
Farruko,El Incomprendido,2mL37yB3f3Lfy4iiXV02Qf,2021-10-01,77,0.113,0.754,267546,0.841,0.0,0.466,0.541,-3.19,0.135,128.019,11
RitaOra,Poison,73ucpKq91TuejrLHgzDNHK,2015-05-18,74,0.0821,0.579,202906,0.738,1.52e-06,0.232,0.431,-5.711,0.0542,124.023,10
AlanWalker,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,2021-06-11,79,0.0239,0.7659999999999999,138819,0.8170000000000001,2.49e-06,0.159,0.43,-4.253,0.035,125.033,7
